建设单位,项目名称,许可证日期,分类结果,所有制类型,营销优先级,判断依据,置信度,是否可营销,是否需要人工核验,排除原因,官方来源链接
南亚新材料科技（江苏）有限公司,南亚新材料科技（江苏）有限公司年产360万平方米IC载板材料智能工厂建设项目（变更）,2026-03-04,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202603/t20260304_1949044.htm
南亚新材料科技（江苏）有限公司,南亚新材料科技（江苏）有限公司面向超高速光模块的高频高速互连电路用高端覆铜板研发及产业化项目,2026-02-28,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202603/t20260304_1949029.htm
南通市中荣液化石油气有限公司,液化石油气储配站安全提档升级技改项目,2026-02-27,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202603/t20260303_1948343.htm
南通亿丽开发管理有限公司,南通非遗旅游度假中心项目,2026-01-29,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202603/t20260302_1947488.htm
中天钢铁集团（南通）有限公司,中天钢铁集团（南通）有限公司电炉短流程精品绿钢项目,2026-03-02,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202603/t20260302_1947487.htm
招商局重工（江苏）有限公司,招商局重工（江苏）有限公司邮轮制造配套项目,2026-02-05,国有商业企业,state_owned_commercial,B,建设单位名称明确包含国有商业主体关键词“招商局”,85,是,否,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202602/t20260209_1937278.htm
未披露,年产30万套船用特种新材料项目,2026-02-03,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202602/t20260205_1935497.htm
南通市晟泰恒能源科技有限公司,南通市晟泰恒能源科技有限公司燃气配套设施生产及储配项目,2026-01-28,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202601/t20260128_1930569.htm
未披露,数字化智能工厂扩建项目,2026-01-26,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202601/t20260128_1930029.htm
南方慶饰（南通）纺织科技有限公司,南方寝饰喜庆家纺系列高端产品生产项目,2026-01-26,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202601/t20260128_1930027.htm
华汇（江苏）资源德环利用有限公司,工业绿岛表面处理产业园项目（北）,2026-01-07,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202601/t20260107_1917621.htm
柏飞特科技（南通）有限公司,柏飞特科技（南通）有限公司智能设备、码垛机器人设备、环保型塑料包装新材料制造项目,2025-12-30,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202512/t20251230_1912998.htm
江苏德硅凯氟光电科技有限公司,江苏德硅凯氟光电科技有限公司年产150吨深紫外氟化物光学晶体及光学元器件制造项目,2025-12-29,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202512/t20251231_1913780.htm
江苏雄风科技有限公司,江苏雄风科技有限公司年产2000万套铜基含油轴承组件生产项目,2025-12-26,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202512/t20251226_1911579.htm
南通润融精密机电有限公司,南通润融精密机电有限公司年产700万件精密汽车零部件新建项目,2025-12-10,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202512/t20251226_1910587.htm
南通海川水务有限公司,南通海川水务有限公司三期工程,2025-12-24,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202512/t20251224_1909207.htm
南通佳之味食品有限公司,南通佳之味食品有限公司年产六万吨蛋白饮料（燕麦奶）、三万吨调制奶、三万吨植脂奶油和冰淇淋浆智能生产线新建项目（变更）,2020-06-16,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202512/t20251211_1901339.htm
南通嘉富泰电气科技有限公司,南通嘉富泰电气科技有限公司特高压电气设备生产项目,2025-12-09,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202512/t20251209_1899383.htm
江苏云谷产业园开发有限公司,九匡河人家建设工程规划许可证（变更）批后公布,2022-05-10,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202512/t20251208_1898753.htm
中天钢铁集团（南通）有限公司,中天钢铁集团（南通）有限公司电炉短流程精品绿钢项目-水处理系统,2025-12-02,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202512/t20251208_1898215.htm
泉养堂生物医药有限公司,泉养堂生物医药有限公司年产5110.2吨生物核心原料及制剂的技改项目,2025-11-28,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202511/t20251128_1893506.htm
南通鸿途城市更新有限公司,南通市海门区E4地块城市更新项目二、三期建设工程规划许可证（变更）批后公布,2023-06-13,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202511/t20251127_1892216.htm
未披露,悦来镇老常久东路北、纵三支路西侧（HM-CR25005）地块项目,2025-11-25,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202511/t20251125_1890588.htm
江苏润晟房地产开发有限公司,C24034地块项目,2025-11-05,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202511/t20251105_1877603.htm
南道辉彩置业有限公司,R22005地块项目,2025-10-29,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202510/t20251029_1872666.htm
南通纺盛置业有限公司,海门区三星镇绣女路东、规划横十二路南侧CR24043项目,2025-10-23,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202510/t20251027_1870670.htm
南通享瑞合纺织品有限公司,享瑞合新材料纤维（碳纤维、海藻纤维）纺织品研发生产项目,2025-10-24,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202510/t20251027_1870666.htm
南通鸿途城市更新有限公司,南通鸿途城市更新有限公司南通市海门区E4地块城市更新项目一、二、三期建设工程规划许可证（变更）批后公布,2022-12-02,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202510/t20251022_1868111.htm
未披露,叠石桥国际纺织时尚广场项目-1.1期、1.2期、二期建设工程规划许可证（变更）批后公布,2025-10-11,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202510/t20251011_1861174.htm
未披露,南通市海门区张謇大道西、太仓路南CR23019项目,2025-09-28,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202509/t20250928_1856347.htm
南通见真精密机械制造有限公司,南通见真精密机械制造有限公司重大装备(半导体)核心零部件制造项目,2025-09-28,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202509/t20250928_1856193.htm
江苏立成涂装科技有限公司,江苏立成涂装科技有限公司高端涂装装备新建项目建设工程规划许可证（变更）批后公布,2025-04-18,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202509/t20250924_1853817.htm
南通市协通精密机械制造有限公司,南通市协通精密机械制造有限公司年产3000万套矿山机械配件,2025-09-18,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202509/t20250918_1849556.htm
江苏晨牌邦德药业有限公司,江苏晨牌邦德药业有限公司年产5亿瓶健眼滴液、5亿瓶养肺止咳口服制剂新建项目,2025-09-05,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202509/t20250905_1841189.htm
江苏省南通市海门区三星镇太阳村村民委员会,海门区三星镇太阳村党群服务中心,2025-07-31,政府机关,government_agency,排除,建设单位名称明确包含政府机关关键词“村民委员会”,95,否,否,政府机关或财政项目,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202509/t20250904_1840382.htm
未披露,CR23031地块项目(功能区一),2025-09-02,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202509/t20250903_1839590.htm
未披露,病死畜禽无害化处理中心配套用房项目,2025-08-04,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202509/t20250903_1839591.htm
嘉吉粮油（南通）有限公司,嘉吉粮油（南通）有限公司迁建项目,2025-08-14,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202508/t20250828_1836847.htm
江苏省沿海验气管道有限公司,江苏沿海输气管道启东-海门支线段工程2#阀室,2025-08-18,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202508/t20250820_1831699.htm
江苏省沿海输气管道有限公司,江苏沿海管道如东-常熟-太仓段输气管线工程3#阀室,2025-08-12,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202508/t20250818_1829851.htm
江苏省沿海输气管道有限公司,江苏沿海管道如东-常熟-太仓段输气管线工程4#阀室,2025-08-12,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202508/t20250818_1829852.htm
江苏省沿海输气管道有限公司,江苏沿海管道如东-常熟-太仓段输气管线工程5#阀室,2025-08-12,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202508/t20250818_1829853.htm
江苏省沿海输气管道有限公司,江苏沿海管道如东-常熟-太仓段输气管线工程6#阀室,2025-08-12,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202508/t20250818_1829854.htm
江苏省沿海输气管道有限公司,江苏沿海管道如东-常熟-太仓段输气管线工程7#阀室,2025-08-12,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202508/t20250818_1829855.htm
江苏省沿海输气管道有限公司,江苏沿海管道如东-常熟-太仓段输气管线工程8#阀室,2025-08-12,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202508/t20250818_1829856.htm
江苏省沿海输气管道有限公司,江苏沿海管道如东-常熟-太仓段输气管线工程9#阀室,2025-08-12,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202508/t20250818_1829857.htm
南通市海广区三星镇人民政府,海门区叠石桥学校小学部项目建设工程规划许可证（变更）批后公布,2025-08-08,政府机关,government_agency,排除,建设单位名称明确包含政府机关关键词“人民政府”,95,否,否,政府机关或财政项目,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202508/t20250813_1827654.htm
江苏恩为众心生物医药有限公司,江苏恩为众心生物医药有限公司年产50亿支塑料药包材技术改造项目,2025-08-01,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202508/t20250807_1823943.htm
江苏振江海风新能源有限公司,江苏振江海风新能源有限公司大兆瓦级海上风力发电机核心部件产业化项目（西地块）,2025-08-07,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202508/t20250819_1830253.htm
中天钢铁集团（南通）有限公司,中天钢铁集团（南通）有限公司高炉鼓风脱湿技改项目建设工程规划许可证（变更）批后公布,2025-05-13,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202507/t20250728_1817401.htm
